,name,Action,Adventure,Casual,Horror,Multiplayer,Racing,RPG,Simulation,Sport,Strategy,firstReleaseDate,earlyAccess,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamUrl
0, Magic pal and great,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2024-10-19,False,15,6.99,404.0,1.17248132676476,67,Hobbyist,神奇伙伴与大圣,神奇伙伴与大圣,https://store.steampowered.com/app/3203600
1, Promise with My Sister,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2024-05-09,False,424,8.99,2496.0,5.080301394173167,88,Hobbyist,Carnival Pepper,Carnival Pepper,https://store.steampowered.com/app/2843130
2,"""Otherworldly: Beginning of the Rift"" Pre-Alpha",1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-09-16,True,325,0.0,0.0,1.45355552489959,73,Hobbyist,Good Face Team,Good Face Team,https://store.steampowered.com/app/3165610
3,#!/bin/bash,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-27,False,1,1.99,1.0,7.766029729143747,31,Hobbyist,High on Caffeine,High on Caffeine,https://store.steampowered.com/app/2983840
4,#BLUD,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2024-06-18,False,6471,24.99,135220.0,10.57716392446913,77,AA,Humble Games,Exit 73 Studios,https://store.steampowered.com/app/1921480
5,#DRIVE Rally,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2024-09-25,True,4662,19.99,73294.0,6.013607287331054,85,Indie,Pixel Perfect Dude,Pixel Perfect Dude,https://store.steampowered.com/app/2494780
6,(Neg)Entropic Wandering,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-19,False,369,0.0,0.0,0.0,0,Hobbyist,Ryan Nein,Ryan Nein,https://store.steampowered.com/app/3084790
7,+1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-11-05,False,102,2.99,256.0,5.140357314106722,67,Hobbyist,IdleClick Games,IdleClick Games,https://store.steampowered.com/app/3292540
8,+1x2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-03-21,False,115,2.99,198.0,15.891948508257984,75,Hobbyist,roflinka games,roflinka games,https://store.steampowered.com/app/2876140
9,-HOME- Survival,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-12,True,73,8.99,548.0,8.192539547299525,67,Hobbyist,Eigen-Kreationen Game Studios,Eigen-Kreationen Game Studios,https://store.steampowered.com/app/1833060
10,.Decluster & .Decluster Zero,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-08-07,False,51,8.99,389.0,11.802504526987793,100,Indie,Masayuki Ito,Masayuki Ito,https://store.steampowered.com/app/3088370
11,.Forty-Five,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-03-24,False,54752,0.0,0.0,5.452573593375051,0,Hobbyist,Microwave Studios,Microwave Studios,https://store.steampowered.com/app/2691350
12,.redruM,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-10-17,False,263,4.99,1505.0,1.6117986126720534,81,Hobbyist,Paul Alex M Samaniego,Paul Alex M Samaniego,https://store.steampowered.com/app/3197050
13,0101,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-13,False,1217,0.0,0.0,7.461186473620428,75,Hobbyist,edybtt Studios,edybtt Studios,https://store.steampowered.com/app/2930280
14,0927,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-08-29,False,1,6.99,6.0,0.0,0,Hobbyist,yjkc,yjkc,https://store.steampowered.com/app/3164120
15,0th floor. - The cursed elevator to floor zero -,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-04-03,False,396,4.99,1411.0,4.395111800269217,67,Hobbyist,Half/Phai,Half/Phai,https://store.steampowered.com/app/2885400
16,1 Trait Escape,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-07,False,1396,12.99,13426.0,16.699621099949436,97,Indie,"1 Trait Danger,Matador Records","Andrew Katz,Jeremy Collette",https://store.steampowered.com/app/2149630
17,1 to 1 humanoid edible toys,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-08-07,False,27723,7.99,185073.0,0.0,95,Indie,无,"汉谟拉比炒面,我的屁是香哒",https://store.steampowered.com/app/2976720
18,1-Bit Explorer,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2024-12-20,False,95,0.0,0.0,2.0804083892558687,100,Hobbyist,Fiddleling,Fiddleling,https://store.steampowered.com/app/3359690
19,1/8192,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-22,False,8602,2.99,22745.0,6.647700885850098,85,Indie,YonGame,YonGame,https://store.steampowered.com/app/3014150
20,10 Dead Doves,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-13,False,968,24.99,18000.0,6.509067564024995,97,Indie,Duonix Studios,"Duonix Studios,Mark Byram II,Sean-Michael Millard",https://store.steampowered.com/app/1564540
21,100 ANIMALS ON AN ISLAND,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-27,False,1732,0.0,0.0,6.799316464199886,91,Hobbyist,KaiserGames,KaiserGames,https://store.steampowered.com/app/3209400
